                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   42807094 |   42817825 |   42808136 |   42827496
  Cycles                             |  103904582 |  103904582 |  103904582 |  103904582
  IPC                                |       0.41 |       0.41 |       0.41 |       0.41
  Time (ns)                          |   39061873 |   39061873 |   39061873 |   39061873
  Idle time (ns)                     |      95595 |      99486 |      92003 |      86392
  Idle time (%)                      |       0.2% |       0.3% |       0.2% |       0.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    1323053 |    1324257 |    1323245 |    1325730
  num incorrect                      |        452 |        321 |        283 |        305
  misprediction rate                 |      0.03% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2364067 |    2368015 |    2366714 |    2371815
    num misses                       |          7 |         29 |         29 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4751710 |    4758550 |    4754209 |    4764388
    num misses                       |     450391 |     450440 |     450912 |     450988
    miss rate                        |      9.48% |      9.47% |      9.48% |      9.47%
    mpki                             |      10.52 |      10.52 |      10.53 |      10.53
  L2 TLB                             |            |            |            |           
    num accesses                     |     450398 |     450469 |     450941 |     451017
    num misses                       |     194597 |     196890 |     199006 |     196373
    miss rate                        |     43.21% |     43.71% |     44.13% |     43.54%
    mpki                             |       4.55 |       4.60 |       4.65 |       4.59
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2364067 |    2368015 |    2366714 |    2371815
    num cache misses                 |        546 |        574 |        497 |        506
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4751921 |    4758725 |    4754371 |    4764546
    num cache misses                 |     304233 |     305126 |     306753 |     306536
    miss rate                        |      6.40% |      6.41% |      6.45% |      6.43%
    mpki                             |       7.11 |       7.13 |       7.17 |       7.16
  Cache L2                           |            |            |            |           
    num cache accesses               |     305624 |     307190 |     308479 |     307070
    num cache misses                 |     122742 |     122815 |     123357 |     123605
    miss rate                        |     40.16% |     39.98% |     39.99% |     40.25%
    mpki                             |       2.87 |       2.87 |       2.88 |       2.89
  Cache L3                           |            |            |            |           
    num cache accesses               |     123587 |     124314 |     124586 |     123633
    num cache misses                 |      35007 |      35459 |      34632 |      34948
    miss rate                        |     28.33% |     28.52% |     27.80% |     28.27%
    mpki                             |       0.82 |       0.83 |       0.81 |       0.82
DRAM summary                         |            |            |            |           
  num dram accesses                  |     149408 |          0 |          0 |          0
  average dram access latency (ns)   |    2402.97 |        inf |        inf |        inf
  average dram queueing delay        |    2349.54 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10220 |      10930 |      10202 |      10522
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
