                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   10760366 |   10766222 |   10757759 |   10782042
  Cycles                             |   26019989 |   26019989 |   26019989 |   26019989
  IPC                                |       0.41 |       0.41 |       0.41 |       0.41
  Time (ns)                          |    9781951 |    9781951 |    9781951 |    9781951
  Idle time (ns)                     |      67010 |      66431 |      77195 |      60482
  Idle time (%)                      |       0.7% |       0.7% |       0.8% |       0.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     340080 |     340597 |     339732 |     342950
  num incorrect                      |        463 |        231 |        215 |        322
  misprediction rate                 |      0.14% |      0.07% |      0.06% |      0.09%
  mpki                               |       0.04 |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     594654 |     598178 |     596921 |     602459
    num misses                       |          7 |         29 |         29 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    1212921 |    1217946 |    1213994 |    1226053
    num misses                       |      97573 |      97563 |      97604 |      97687
    miss rate                        |      8.04% |      8.01% |      8.04% |      7.97%
    mpki                             |       9.07 |       9.06 |       9.07 |       9.06
  L2 TLB                             |            |            |            |           
    num accesses                     |      97580 |      97592 |      97633 |      97716
    num misses                       |       5760 |       5768 |       5754 |       5806
    miss rate                        |      5.90% |      5.91% |      5.89% |      5.94%
    mpki                             |       0.54 |       0.54 |       0.53 |       0.54
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     594654 |     598178 |     596921 |     602459
    num cache misses                 |        526 |        439 |        416 |        532
    miss rate                        |      0.09% |      0.07% |      0.07% |      0.09%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    1213150 |    1218129 |    1214138 |    1226212
    num cache misses                 |      73794 |      75009 |      73934 |      74828
    miss rate                        |      6.08% |      6.16% |      6.09% |      6.10%
    mpki                             |       6.86 |       6.97 |       6.87 |       6.94
  Cache L2                           |            |            |            |           
    num cache accesses               |      74623 |      75685 |      74717 |      75571
    num cache misses                 |      29316 |      29536 |      28945 |      30154
    miss rate                        |     39.29% |     39.02% |     38.74% |     39.90%
    mpki                             |       2.72 |       2.74 |       2.69 |       2.80
  Cache L3                           |            |            |            |           
    num cache accesses               |      29619 |      29781 |      29312 |      30365
    num cache misses                 |       8777 |       8748 |       8600 |       8726
    miss rate                        |     29.63% |     29.37% |     29.34% |     28.74%
    mpki                             |       0.82 |       0.81 |       0.80 |       0.81
DRAM summary                         |            |            |            |           
  num dram accesses                  |      34851 |          0 |          0 |          0
  average dram access latency (ns)   |    9111.25 |        inf |        inf |        inf
  average dram queueing delay        |    9057.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2100 |       2219 |       2101 |       2207
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
