                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  476919860 |  475454298 |  486660117 |  478904583
  Cycles                             |  700141110 |  700141110 |  700141110 |  700141110
  IPC                                |       0.68 |       0.68 |       0.70 |       0.68
  Time (ns)                          |  263210944 |  263210944 |  263210944 |  263210944
  Idle time (ns)                     |    7063016 |    7409021 |    6976854 |    7041707
  Idle time (%)                      |       2.7% |       2.8% |       2.7% |       2.7%
Branch predictor stats               |            |            |            |           
  num correct                        |   43792463 |   44198242 |   45274843 |   44192867
  num incorrect                      |    3654809 |    3615750 |    3710383 |    3745831
  misprediction rate                 |      7.70% |      7.56% |      7.57% |      7.81%
  mpki                               |       7.66 |       7.60 |       7.62 |       7.82
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   63921125 |   64585616 |   66477428 |   63422052
    num misses                       |         14 |         46 |         50 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  193514322 |  191830715 |  196482939 |  193426284
    num misses                       |     912119 |    1064230 |    1176686 |    1056715
    miss rate                        |      0.47% |      0.55% |      0.60% |      0.55%
    mpki                             |       1.91 |       2.24 |       2.42 |       2.21
  L2 TLB                             |            |            |            |           
    num accesses                     |     912133 |    1064276 |    1176736 |    1056763
    num misses                       |     118192 |     117209 |     156239 |     142872
    miss rate                        |     12.96% |     11.01% |     13.28% |     13.52%
    mpki                             |       0.25 |       0.25 |       0.32 |       0.30
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   63921125 |   64585616 |   66477428 |   63422052
    num cache misses                 |    9851586 |    9894610 |    9394438 |    9690477
    miss rate                        |     15.41% |     15.32% |     14.13% |     15.28%
    mpki                             |      20.66 |      20.81 |      19.30 |      20.23
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  193708296 |  192031934 |  196666489 |  193617438
    num cache misses                 |   21909656 |   24019867 |   24458596 |   23130331
    miss rate                        |     11.31% |     12.51% |     12.44% |     11.95%
    mpki                             |      45.94 |      50.52 |      50.26 |      48.30
  Cache L2                           |            |            |            |           
    num cache accesses               |   31791134 |   33943053 |   33877529 |   32848229
    num cache misses                 |    1035061 |     798382 |     987296 |    1038892
    miss rate                        |      3.26% |      2.35% |      2.91% |      3.16%
    mpki                             |       2.17 |       1.68 |       2.03 |       2.17
  Cache L3                           |            |            |            |           
    num cache accesses               |    1065035 |     827012 |    1011846 |    1066365
    num cache misses                 |      64251 |      73230 |      73075 |      84700
    miss rate                        |      6.03% |      8.85% |      7.22% |      7.94%
    mpki                             |       0.13 |       0.15 |       0.15 |       0.18
DRAM summary                         |            |            |            |           
  num dram accesses                  |     416714 |          0 |          0 |          0
  average dram access latency (ns)   |      57.62 |        inf |        inf |        inf
  average dram queueing delay        |       4.19 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      63640 |      72747 |      72456 |      83939
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
