                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  118684868 |  119157599 |  118349754 |  121060179
  Cycles                             |  210064308 |  210064308 |  210064308 |  210064308
  IPC                                |       0.56 |       0.57 |       0.56 |       0.58
  Time (ns)                          |   78971545 |   78971545 |   78971545 |   78971545
  Idle time (ns)                     |    2506733 |    2530387 |    2473966 |    2493135
  Idle time (%)                      |       3.2% |       3.2% |       3.1% |       3.2%
Branch predictor stats               |            |            |            |           
  num correct                        |   10901179 |   11074287 |   10891783 |   11253897
  num incorrect                      |     951237 |     951115 |     985469 |     964901
  misprediction rate                 |      8.03% |      7.91% |      8.30% |      7.90%
  mpki                               |       8.01 |       7.98 |       8.33 |       7.97
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   15916134 |   16189405 |   15821150 |   16530429
    num misses                       |         15 |         46 |         46 |         44
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   48118941 |   48040504 |   47926737 |   48837448
    num misses                       |     215520 |     245234 |     253587 |     270856
    miss rate                        |      0.45% |      0.51% |      0.53% |      0.55%
    mpki                             |       1.82 |       2.06 |       2.14 |       2.24
  L2 TLB                             |            |            |            |           
    num accesses                     |     215535 |     245280 |     253633 |     270900
    num misses                       |      36930 |      37001 |      47002 |      45458
    miss rate                        |     17.13% |     15.09% |     18.53% |     16.78%
    mpki                             |       0.31 |       0.31 |       0.40 |       0.38
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   15916134 |   16189405 |   15821150 |   16530429
    num cache misses                 |    4074081 |    3952185 |    3898563 |    3898214
    miss rate                        |     25.60% |     24.41% |     24.64% |     23.58%
    mpki                             |      34.33 |      33.17 |      32.94 |      32.20
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   48168951 |   48091446 |   47975704 |   48884692
    num cache misses                 |    8157209 |    8384132 |    8144428 |    8341713
    miss rate                        |     16.93% |     17.43% |     16.98% |     17.06%
    mpki                             |      68.73 |      70.36 |      68.82 |      68.91
  Cache L2                           |            |            |            |           
    num cache accesses               |   12240892 |   12343845 |   12050483 |   12246336
    num cache misses                 |     395363 |     336282 |     424392 |     386896
    miss rate                        |      3.23% |      2.72% |      3.52% |      3.16%
    mpki                             |       3.33 |       2.82 |       3.59 |       3.20
  Cache L3                           |            |            |            |           
    num cache accesses               |     405103 |     343888 |     431944 |     393379
    num cache misses                 |      45034 |      47710 |      58084 |      46229
    miss rate                        |     11.12% |     13.87% |     13.45% |     11.75%
    mpki                             |       0.38 |       0.40 |       0.49 |       0.38
DRAM summary                         |            |            |            |           
  num dram accesses                  |     315161 |          0 |          0 |          0
  average dram access latency (ns)   |      57.93 |        inf |        inf |        inf
  average dram queueing delay        |       4.51 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      44572 |      47216 |      57690 |      45688
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
